episode_id,date,start,end,n_obs,length_hours
339,2025-06-24,2025-06-24 08:10:00+02:00,2025-06-24 11:00:00+02:00,35,2.9166666666666665
340,2025-06-24,2025-06-24 11:10:00+02:00,2025-06-24 23:40:00+02:00,151,12.583333333333334
341,2025-06-25,2025-06-25 04:55:00+02:00,2025-06-25 23:35:00+02:00,225,18.75
342,2025-06-26,2025-06-26 04:55:00+02:00,2025-06-26 14:55:00+02:00,121,10.083333333333334
343,2025-06-26,2025-06-26 18:10:00+02:00,2025-06-26 23:55:00+02:00,70,5.833333333333333
344,2025-06-27,2025-06-27 09:05:00+02:00,2025-06-27 14:00:00+02:00,60,5.0
345,2025-06-27,2025-06-27 14:10:00+02:00,2025-06-27 23:55:00+02:00,118,9.833333333333334
346,2025-06-28,2025-06-28 00:00:00+02:00,2025-06-28 02:40:00+02:00,33,2.75
347,2025-06-28,2025-06-28 05:10:00+02:00,2025-06-28 12:00:00+02:00,83,6.916666666666667
348,2025-06-28,2025-06-28 12:10:00+02:00,2025-06-28 23:55:00+02:00,142,11.833333333333334
349,2025-06-29,2025-06-29 00:00:00+02:00,2025-06-29 02:45:00+02:00,34,2.8333333333333335
350,2025-06-29,2025-06-29 04:55:00+02:00,2025-06-29 23:00:00+02:00,218,18.166666666666668
351,2025-06-30,2025-06-30 00:00:00+02:00,2025-06-30 02:50:00+02:00,35,2.9166666666666665
352,2025-06-30,2025-06-30 04:55:00+02:00,2025-06-30 07:00:00+02:00,26,2.1666666666666665
353,2025-06-30,2025-06-30 07:15:00+02:00,2025-06-30 16:00:00+02:00,106,8.833333333333334
354,2025-06-30,2025-06-30 16:15:00+02:00,2025-06-30 23:40:00+02:00,90,7.5
355,2025-07-01,2025-07-01 04:55:00+02:00,2025-07-01 08:00:00+02:00,38,3.1666666666666665
356,2025-07-01,2025-07-01 08:10:00+02:00,2025-07-01 15:55:00+02:00,94,7.833333333333333
357,2025-07-01,2025-07-01 16:30:00+02:00,2025-07-01 23:45:00+02:00,88,7.333333333333333
358,2025-07-02,2025-07-02 04:55:00+02:00,2025-07-02 23:35:00+02:00,225,18.75
359,2025-07-03,2025-07-03 06:10:00+02:00,2025-07-03 09:00:00+02:00,35,2.9166666666666665
360,2025-07-03,2025-07-03 09:10:00+02:00,2025-07-03 23:35:00+02:00,174,14.5
361,2025-07-04,2025-07-04 05:00:00+02:00,2025-07-04 14:00:00+02:00,109,9.083333333333334
362,2025-07-04,2025-07-04 14:10:00+02:00,2025-07-04 23:55:00+02:00,118,9.833333333333334
363,2025-07-05,2025-07-05 00:00:00+02:00,2025-07-05 02:40:00+02:00,33,2.75
364,2025-07-05,2025-07-05 04:55:00+02:00,2025-07-05 08:00:00+02:00,38,3.1666666666666665
365,2025-07-05,2025-07-05 11:05:00+02:00,2025-07-05 18:00:00+02:00,84,7.0
366,2025-07-05,2025-07-05 19:05:00+02:00,2025-07-05 22:55:00+02:00,47,3.9166666666666665
367,2025-07-06,2025-07-06 04:55:00+02:00,2025-07-06 07:55:00+02:00,37,3.0833333333333335
368,2025-07-06,2025-07-06 08:05:00+02:00,2025-07-06 22:55:00+02:00,179,14.916666666666666
369,2025-07-07,2025-07-07 00:00:00+02:00,2025-07-07 02:20:00+02:00,29,2.4166666666666665
370,2025-07-07,2025-07-07 04:55:00+02:00,2025-07-07 22:00:00+02:00,206,17.166666666666668
371,2025-07-08,2025-07-08 06:10:00+02:00,2025-07-08 21:00:00+02:00,179,14.916666666666666
372,2025-07-08,2025-07-08 21:10:00+02:00,2025-07-08 23:55:00+02:00,34,2.8333333333333335
373,2025-07-09,2025-07-09 04:55:00+02:00,2025-07-09 19:55:00+02:00,181,15.083333333333334
374,2025-07-09,2025-07-09 20:05:00+02:00,2025-07-09 23:00:00+02:00,36,3.0
375,2025-07-10,2025-07-10 06:10:00+02:00,2025-07-10 13:55:00+02:00,94,7.833333333333333
376,2025-07-10,2025-07-10 14:10:00+02:00,2025-07-10 23:55:00+02:00,118,9.833333333333334
377,2025-07-11,2025-07-11 04:55:00+02:00,2025-07-11 07:00:00+02:00,26,2.1666666666666665
378,2025-07-11,2025-07-11 08:05:00+02:00,2025-07-11 23:55:00+02:00,191,15.916666666666666
379,2025-07-12,2025-07-12 06:10:00+02:00,2025-07-12 11:00:00+02:00,59,4.916666666666667
380,2025-07-12,2025-07-12 12:10:00+02:00,2025-07-12 23:50:00+02:00,141,11.75
381,2025-07-13,2025-07-13 00:20:00+02:00,2025-07-13 03:25:00+02:00,38,3.1666666666666665
382,2025-07-13,2025-07-13 06:10:00+02:00,2025-07-13 16:50:00+02:00,129,10.75
383,2025-07-13,2025-07-13 19:15:00+02:00,2025-07-13 22:50:00+02:00,44,3.6666666666666665
384,2025-07-14,2025-07-14 00:00:00+02:00,2025-07-14 02:50:00+02:00,35,2.9166666666666665
385,2025-07-14,2025-07-14 07:05:00+02:00,2025-07-14 14:00:00+02:00,84,7.0
386,2025-07-14,2025-07-14 14:10:00+02:00,2025-07-14 23:55:00+02:00,118,9.833333333333334
387,2025-07-15,2025-07-15 07:10:00+02:00,2025-07-15 10:00:00+02:00,35,2.9166666666666665
388,2025-07-15,2025-07-15 10:10:00+02:00,2025-07-15 16:55:00+02:00,82,6.833333333333333
389,2025-07-15,2025-07-15 18:05:00+02:00,2025-07-15 23:00:00+02:00,60,5.0
390,2025-07-16,2025-07-16 00:00:00+02:00,2025-07-16 02:50:00+02:00,35,2.9166666666666665
391,2025-07-16,2025-07-16 04:55:00+02:00,2025-07-16 23:55:00+02:00,229,19.083333333333332
392,2025-07-17,2025-07-17 00:20:00+02:00,2025-07-17 02:55:00+02:00,32,2.6666666666666665
393,2025-07-17,2025-07-17 06:10:00+02:00,2025-07-17 21:55:00+02:00,190,15.833333333333334
394,2025-07-18,2025-07-18 00:00:00+02:00,2025-07-18 02:50:00+02:00,35,2.9166666666666665
395,2025-07-18,2025-07-18 07:05:00+02:00,2025-07-18 23:55:00+02:00,203,16.916666666666668
396,2025-07-19,2025-07-19 00:10:00+02:00,2025-07-19 02:40:00+02:00,31,2.5833333333333335
397,2025-07-19,2025-07-19 04:55:00+02:00,2025-07-19 23:55:00+02:00,229,19.083333333333332
