station,adf_stat,p_value
Rosenheimer_Platz,-4.139961457034514,0.000831259667302344
Ostbahnhof,-5.2355803511171315,7.4346630807691144e-06
Leuchtenbergring,-3.4967747441279804,0.008070312843368491
Pasing,-8.596394666335279,7.058643613854994e-14
Laim,-2.5025892715058764,0.11484559748158102
Hirschgarten,-4.124244330449041,0.0008829139425901324
Donnersbergerbruecke,-11.514216961067378,4.188182093167945e-21
Hackerbruecke,-7.865542724664424,5.146628137953498e-12
Hauptbahnhof_tief,-7.76443901861288,9.268523978683867e-12
Karlsplatz_Stachus,-7.658671975932025,1.711728134141085e-11
Marienplatz,-7.2168723491419335,2.1616760809417113e-10
Isartor,-7.418167146817672,6.847372518256173e-11
Rosenheimer_Platz,-5.012242861278686,2.098771348033454e-05
Ostbahnhof,-7.318195218732146,1.2135595125397446e-10
Leuchtenbergring,-3.0311532666727405,0.032085731766173506
Pasing,-11.99000071688841,3.539286723763122e-22
Laim,-4.350460898730254,0.00036284391035740015
Hirschgarten,-4.470645225833568,0.00022210299201181043
Donnersbergerbruecke,-4.52832017336472,0.00017472412295382688
Hackerbruecke,-8.299186245794274,4.061821788662983e-13
Hauptbahnhof_tief,-6.098984587851124,9.940803964646818e-08
Karlsplatz_Stachus,-6.542006933683641,9.29641554906722e-09
Marienplatz,-8.218368855240078,6.530340459689622e-13
Isartor,-6.4001960549624215,2.00434744695185e-08
Rosenheimer_Platz,-7.454306782605289,5.56433693078035e-11
Ostbahnhof,-11.619311302227114,2.4059390354258313e-21
Leuchtenbergring,-5.160987334059844,1.0556182431121513e-05
Pasing,-8.135054648949671,1.064732434066022e-12
Laim,-2.520267123396299,0.11062066430868078
Hirschgarten,-11.565845825537465,3.1879143731562262e-21
Donnersbergerbruecke,-10.29352531083946,3.519335672962963e-18
Hackerbruecke,-5.363297716851447,4.043298882702628e-06
Hauptbahnhof_tief,-5.163015332847458,1.045659048491623e-05
Karlsplatz_Stachus,-5.138518058154474,1.17228817270398e-05
Marienplatz,-5.214920700119859,8.195899832560259e-06
Isartor,-2.0669316731660974,0.2580176854937183
Rosenheimer_Platz,-8.117134876831878,1.182667716423906e-12
Ostbahnhof,-2.154196341326193,0.22328729150125454
Leuchtenbergring,-2.9182756705760386,0.043263687717656395
Pasing,-3.872515880725849,0.002246688259599769
Laim,-3.673515909661967,0.004501479978078732
Hirschgarten,-4.789622911213424,5.692712912362308e-05
Donnersbergerbruecke,-4.09210635613696,0.0009980348180732813
Hackerbruecke,-6.248445383211609,4.515358680002333e-08
Hauptbahnhof_tief,-3.9934219096109427,0.0014453504669371957
Karlsplatz_Stachus,-3.9048643862747294,0.001999338130492204
Marienplatz,-4.2727253166904795,0.0004950833897654959
Isartor,-3.8870269862590936,0.0021324231076546786
Rosenheimer_Platz,-3.9869560657392826,0.001480374524186374
Ostbahnhof,-3.720126605332034,0.0038387988631607534
Leuchtenbergring,-2.9934208373017945,0.035513396084065584
Pasing,-7.946797080505368,3.2038905817948137e-12
Laim,-12.715006498813226,1.0109428945503917e-23
Hirschgarten,-11.433917157736696,6.416681877628264e-21
Donnersbergerbruecke,-6.0092141116843445,1.5882623499359185e-07
Hackerbruecke,-5.6034363748975915,1.249671296998028e-06
Hauptbahnhof_tief,-6.120914230658274,8.860050298031896e-08
Karlsplatz_Stachus,-7.572670312427354,2.8142699649859077e-11
Marienplatz,-6.363861367384738,2.4369418968815492e-08
Isartor,-7.923872712881267,3.66266065642037e-12
Rosenheimer_Platz,-5.552689338159345,1.6064944513607122e-06
Ostbahnhof,-4.972477920295266,2.5151616980714694e-05
Leuchtenbergring,-4.584692482731098,0.00013782650846481189
Pasing,-5.454385278147313,2.6013312869826236e-06
Laim,-5.50993191030121,1.9826592481962136e-06
Hirschgarten,-6.235113872659316,4.8468037793740125e-08
Donnersbergerbruecke,-5.179889018125384,9.662469478248591e-06
Hackerbruecke,-4.680551190074249,9.152449519310408e-05
Hauptbahnhof_tief,-4.469548192533311,0.0002231128364794263
Karlsplatz_Stachus,-4.8192864140166485,4.9949287695060475e-05
Marienplatz,-4.04991942485156,0.0011705329745101214
Isartor,-4.113027307487817,0.0009216017257712225
Rosenheimer_Platz,-4.729820030255359,7.394284138185917e-05
Ostbahnhof,-5.649708506150473,9.925081591895326e-07
Leuchtenbergring,-4.151903845429195,0.000793920644035541
Pasing,-4.580886538245003,0.00014006326292497064
Laim,-5.67774209476688,8.626593717757969e-07
Hirschgarten,-4.2681104996532,0.0005042164834435035
Donnersbergerbruecke,-5.094582813314989,1.437490957840173e-05
Hackerbruecke,-4.457184002041056,0.00023480019057998605
Hauptbahnhof_tief,-4.733365959915217,7.281084926374181e-05
Karlsplatz_Stachus,-5.734099743689655,6.498373182320319e-07
Marienplatz,-4.0612055326923775,0.0011218411328758364
Isartor,-4.853072383275337,4.300161037897463e-05
Rosenheimer_Platz,-5.002838753130114,2.19078404342698e-05
Ostbahnhof,-3.8302147486516236,0.002612873822531152
Leuchtenbergring,-4.7745965434999675,6.0809661057400185e-05
Pasing,-2.0649470753054446,0.2588410634108087
Laim,-2.8479174564575684,0.051748365855211496
Hirschgarten,-2.9214480806571808,0.04291012308459288
Donnersbergerbruecke,-2.6492221999100183,0.08324466361873817
Hackerbruecke,-2.1363166638403155,0.23016436912743715
Hauptbahnhof_tief,-2.4487483621749484,0.12844738368934783
Karlsplatz_Stachus,-2.5099283946652253,0.11307728991194493
Marienplatz,-2.5526065583028017,0.10319338639497572
Isartor,-3.087842115133161,0.027466107727713383
Rosenheimer_Platz,-2.418504360349615,0.1365816545823999
Ostbahnhof,-2.7885996750067408,0.059920766348975404
Leuchtenbergring,-1.7030083299742305,0.42956316512306025
Pasing,-7.8943421450162985,4.35124962832746e-12
Laim,-3.075944636014057,0.02838537329052293
Hirschgarten,-2.812039309680431,0.056574511011698546
