code,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
38,0.0025956564770032308,0.0018113573976209594,0.001400534070325484,0.004995238184160893,0.01582603499467797,0.030531642733095554,0.04170790461429292,0.058122163918507594,0.052323952867360086,0.06741237325166663,0.06909301413605722,0.04679651173647551,0.048253067169614014,0.04535863009094135,0.10101585404567609,0.056590913334951726,0.04486377471942634,0.057020410449851545,0.06160482530671696,0.038271927695094396,0.0657504061548804,0.04180127355231462,0.037300890739668725,0.009551642359619802
40,0.0022478770050507854,0.003330188155630793,0.003052672475994894,0.011211633457290336,0.046261863795304434,0.05583615474274296,0.03854692790142643,0.05750124882055836,0.046012099683632124,0.05225620247543986,0.06302381084531276,0.04373647111061775,0.06804684464672255,0.07220957984126103,0.12149636454459677,0.05114613975689627,0.0386301826053172,0.012765721263251375,0.042376644280401846,0.018482544263750903,0.07057223733140923,0.050258089582061384,0.020092135205639117,0.010906366209690847
41,0.004651410513608039,0.0009941946135956113,0.001402524544179523,0.008095584710707121,0.022351625330658476,0.036589912475367053,0.03783265574236157,0.07207910948568182,0.06204839597351181,0.05808937099437215,0.04459672980986028,0.038986631633142185,0.0717595469313118,0.06796030322935714,0.08914019919399223,0.06606068137837982,0.05965167681573668,0.07181280735704014,0.04891082429385552,0.05539084275746978,0.03806345092051769,0.029435261952527207,0.009249560601487742,0.004846698741278605
42,0.004909790002957705,0.0019520851818988466,0.0033717834960070984,0.015380065069506064,0.035196687370600416,0.04832889677610175,0.05335699497190181,0.03306713989943803,0.04247264123040521,0.044897959183673466,0.05625554569653948,0.026264418811002662,0.035196687370600416,0.04572611653356995,0.05477669328601006,0.0443064182194617,0.042709257616089916,0.12676722863058268,0.08843537414965986,0.07346938775510205,0.06542443064182195,0.03076013013901213,0.016030760130139012,0.010943507837917775
43,0.005597022901089693,0.0014748695061110896,0.0015528879654923286,0.013259931856753834,0.03736015458342418,0.059366703859028126,0.06606026017553085,0.058335363950769284,0.05943830984229584,0.05235786746694369,0.052788572112568884,0.049445534565383746,0.047874477917569755,0.054039004954706545,0.06228224299864483,0.06254301702726157,0.05642551481495731,0.049862345512762966,0.04723002406816035,0.05276505970015262,0.04360697506401789,0.029371278091989108,0.02417717244003266,0.012785408624352875
44,0.0037758388975403716,0.0022399044307442884,0.0008106320796979329,0.00407449282163961,0.01610597947820893,0.0327452695351665,0.05872816093180024,0.06350662371738806,0.07534611856560787,0.06350662371738806,0.06702647353712908,0.050579175288521024,0.044307442882437015,0.05217910702476694,0.06875439981227467,0.0616080380570429,0.06489323122213453,0.059069479702199376,0.05621093500010666,0.05653092134735584,0.04198220875909295,0.027476161017129935,0.02041512895449794,0.008127653220129274
45,0.0008420546132563455,0.0,0.0004811740647179117,0.0013633265167007499,0.014515417618990336,0.03612815269256987,0.05697902883034604,0.057099322346525525,0.08713260355266851,0.07923332932354946,0.06964994586791771,0.05417218011949156,0.05894382292794419,0.05986607321865352,0.06511889009182405,0.06038734512209792,0.0610289105417218,0.06868759773848189,0.04374674205060347,0.0446689923413128,0.041340871727013916,0.021933517783391476,0.012310036489033241,0.004370664421187698
48,0.0058452521262701874,0.00308986079699296,0.001011371961902335,0.002444812537826904,0.0093173637435097,0.024464052495779313,0.04164941228936387,0.061414965119612655,0.07240467620170102,0.07431593030293378,0.06098493294683528,0.045073742554072566,0.047231866976714554,0.05157997005701908,0.07265951008186539,0.06428184627146179,0.06275284299047558,0.0593524034020323,0.052137419169878636,0.05999745166119835,0.04368808333067881,0.034848533112477306,0.03272226292485586,0.016731436944541777
55,0.0,0.0,0.0,0.0086,0.028533333333333334,0.0468,0.1548,0.0624,0.03593333333333333,0.0362,0.026733333333333335,0.030466666666666666,0.03726666666666666,0.03693333333333333,0.044066666666666664,0.0822,0.07973333333333334,0.051866666666666665,0.044533333333333334,0.04473333333333333,0.03666666666666667,0.0814,0.013866666666666666,0.016266666666666665
64,0.003383709254149474,0.0016032537613177057,0.001645444649773435,0.00977140976634686,0.021255769603996322,0.022462429013830172,0.03225915331325047,0.04797104017416399,0.06563214608173219,0.0594638381895046,0.06705819811153584,0.11707127728695711,0.07562294846804885,0.042579044629521806,0.056957699415234285,0.06947151693120354,0.05800403344893637,0.03905188635462285,0.05727835016749783,0.029854272671273913,0.04214025938958223,0.030377439688124952,0.027381886607768188,0.02170299302162705
