stop_id,stop_name,stop_lat,stop_lon,n_rows,n_trips
8003438,Kreuzstraße,47.91649400000376,11.759013999998922,95394,19169
8003720,Lochham,48.12824699997959,11.430889999997637,567830,39854
8003735,Lohhof,48.28793700001612,11.580812999983907,1019519,76041
8003824,Maisach,48.21423700001211,11.257235999993828,514210,49611
8003828,Malching(Oberbay),48.215450000014926,11.219064000003643,410434,37131
8004204,Mammendorf,48.21682600001024,11.174617999998812,155188,37109
8003072,Markt Indersdorf,48.35239100001334,11.378445999997407,167336,22140
8003879,Markt Schwaben,48.19315700000149,11.861508999998748,513973,41365
8004128,München Donnersbergerbrücke,48.14262299986268,11.536536999979328,5153463,364445
8004167,München Flugh. Besucherpark Bahnhof,48.35209500001742,11.764184999984641,939914,85626
8004168,München Flughafen Terminal,48.35372800002037,11.785970000009096,371124,85686
8004129,München Hackerbrücke,48.14196900008415,11.54857200009383,4744693,324085
8004130,München Harras,48.11774699996981,11.536311000003188,354084,39396
8000261,München Hbf,48.1402320000003,11.558334999999982,7081,1927
8098263,München Hbf (tief),48.141171999591194,11.560492999921452,4827100,323601
8098261,München Hbf Gl.27-36,48.14152900000687,11.556707999998315,146390,44256
8098262,München Hbf Gl.5-10,48.140093999999976,11.555371000000004,281,53
8005419,München Heimeranplatz,48.13296100002786,11.531499999996045,380373,47237
8004179,München Hirschgarten,48.14353999982206,11.519244999971647,4601536,319195
8004131,München Isartor,48.13420199981729,11.583234000018628,4793266,323655
8004132,München Karlsplatz,48.13945199953525,11.565618999972543,4849594,323698
8004133,München Leienfelsstr.,48.154538000002454,11.42852399999103,541274,39852
8004134,München Leuchtenbergring,48.134250000085785,11.615985999988753,2277853,204957
8004135,München Marienplatz,48.13704799982561,11.575385999940078,4328926,310518
8000262,München Ost,48.12744000034518,11.604970999993478,4411920,326411
8004136,München Rosenheimer Platz,48.12916800006773,11.593049000016176,4309836,307705
8004137,München Siemenswerke,48.094502999969954,11.532798999993542,361751,41602
8004138,München St.Martin-Str.,48.11854299996523,11.59578499999262,1071588,79726
8004140,München-Allach,48.18993199993027,11.468036000003654,653896,53942
8004141,München-Aubing,48.15596800000066,11.413309000005436,527612,39722
8004142,München-Berg am Laim,48.13400099990723,11.63329500001207,1491250,105483
8004143,München-Daglfing,48.14962199999899,11.64932999999828,538988,44380
8004144,München-Englschalking,48.156915000021726,11.648334999997436,540280,44422
8004145,München-Fasanerie,48.19781100004325,11.525923999978604,1029964,76086
8004146,München-Fasangarten,48.0927459999768,11.606008999990292,563496,46222
8004147,München-Feldmoching,48.21381299998824,11.541317999984038,1026205,76780
8004181,München-Freiham,48.14000000001932,11.410111999990633,688492,49981
8004148,München-Giesing,48.11080299997975,11.596345999982013,1148016,88739
8004149,München-Johanneskirchen,48.16763800005893,11.646058000005176,575888,46313
8004150,München-Karlsfeld,48.211178999979175,11.459568000010268,649120,53502
8004151,München-Laim,48.14437099953093,11.503669000136425,4500075,313735
8004152,München-Langwied,48.1631120000568,11.432508000012277,605136,48968
8004153,München-Lochhausen,48.176504999991415,11.407894999994232,610549,49181
8004154,München-Mittersendling,48.10782400001316,11.536353999995745,374112,41564
8004155,München-Moosach,48.1802579999607,11.506236999994536,1000822,75927
