event_id,stop_id,richtung,t0,n_trips,t0_date,peak_t0,terzil,dauer_min,station_name,stunde
431,8000262,Ost,2025-11-20 10:17:38.450689+00:00,17,2025-11-20,-407.77777777777777,niedrig,20.02116645,Ostbahnhof,10
435,8000262,Ost,2025-11-20 18:21:56.432125+00:00,4,2025-11-20,-244.0,niedrig,37.99433105,Ostbahnhof,18
453,8000262,Ost,2025-11-23 07:42:30.953930+00:00,8,2025-11-23,683.3333333333334,hoch,78.0095512,Ostbahnhof,7
460,8000262,Ost,2025-11-23 19:20:31.220368+00:00,3,2025-11-23,5.0,mittel,23.99209825,Ostbahnhof,19
463,8000262,Ost,2025-11-24 08:16:31.474765+00:00,7,2025-11-24,3177.0,hoch,3.9944280666666665,Ostbahnhof,8
465,8000262,Ost,2025-11-24 19:17:05.268039+00:00,13,2025-11-24,603.3333333333334,hoch,0.06811228333333334,Ostbahnhof,19
466,8000262,Ost,2025-11-26 11:53:48.517254+00:00,8,2025-11-26,537.5,hoch,33.9966826,Ostbahnhof,11
468,8000262,Ost,2025-12-02 06:51:50.463966+00:00,11,2025-12-02,133.75,mittel,82.00158348333333,Ostbahnhof,6
472,8000262,Ost,2025-12-10 07:31:30.393942+00:00,5,2025-12-10,2557.5,hoch,11.980192950000001,Ostbahnhof,7
474,8000262,Ost,2025-12-10 12:17:31.241742+00:00,84,2025-12-10,-340.0,niedrig,19.973656016666666,Ostbahnhof,12
481,8000262,Ost,2025-12-11 13:21:56.291634+00:00,3,2025-12-11,-176.66666666666669,niedrig,18.01119185,Ostbahnhof,13
483,8000262,Ost,2025-12-11 21:47:08.501500+00:00,15,2025-12-11,26.666666666666686,mittel,54.382534400000004,Ostbahnhof,21
484,8000262,Ost,2025-12-14 17:16:05.167928+00:00,12,2025-12-14,-164.0,niedrig,6.003664850000001,Ostbahnhof,17
486,8000262,Ost,2025-12-16 08:16:36.854613+00:00,4,2025-12-16,400.0,hoch,0.001999383333333333,Ostbahnhof,8
487,8000262,Ost,2025-12-16 14:17:29.534399+00:00,11,2025-12-16,-168.0,niedrig,0.022361299999999997,Ostbahnhof,14
488,8000262,Ost,2025-12-17 08:16:42.436910+00:00,65,2025-12-17,617.5,hoch,121.97870465,Ostbahnhof,8
489,8000262,Ost,2025-12-18 09:39:41.120574+00:00,3,2025-12-18,1100.0,hoch,14.20969635,Ostbahnhof,9
494,8000262,Ost,2025-12-19 20:16:47.943239+00:00,3,2025-12-19,-220.0,niedrig,0.0050706833333333335,Ostbahnhof,20
