code_a,code_b,lift,gemeinsame_fenster
5,24,3.9039687155815703,3
11,23,3.8797225501770956,3
23,63,3.8200345109436022,8
22,57,3.8177096768646064,19
54,67,3.754039167686659,28
26,54,3.739544807965861,1
45,56,3.714709622721492,4
8,58,3.693418126658749,16
7,18,3.691886388372011,5
15,41,3.6899379746817673,25
7,58,3.6293120428063843,57
37,47,3.623694820634756,6
23,58,3.6072965115448055,48
47,51,3.5995492375141764,114
15,47,3.5885133175217976,6
22,58,3.586126931077994,3
5,62,3.5833529273454032,10
19,64,3.5624666514216017,8
5,49,3.546638245712766,35
6,40,3.5427872860635703,35
22,25,3.5263581488933604,13
26,57,3.4701514701514697,6
45,68,3.451721330847405,35
47,50,3.4497574692442883,7
3,63,3.4469842657342658,3
38,63,3.4454548557308344,24
32,37,3.412098456403838,7
2,6,3.411865991024526,73
25,51,3.405675308801911,115
8,35,3.4048698355135345,3
24,42,3.3596881722720395,3
23,37,3.3472116119174937,11
13,58,3.3066884689160725,4
42,58,3.297321079485715,64
10,33,3.2972532296500687,10
57,69,3.2921949845026766,6
17,40,3.2762589928057557,11
30,48,3.2557045109755722,6
48,65,3.2557045109755722,6
13,32,3.2285161646863774,20
35,51,3.208244856117742,5
57,60,3.193920507353343,10
14,15,3.1755273369671895,2
24,64,3.164032881196818,5
47,69,3.1591185615790183,4
44,69,3.157268960547649,41
44,62,3.133832181413149,36
5,11,3.0906418998354104,3
33,40,3.08955223880597,100
58,61,3.0224953953767515,25
26,45,3.0119267211255343,20
36,49,3.005250365402569,84
44,65,3.003255840520935,3
33,57,3.002285276912142,94
45,69,3.0003423875827435,21
37,67,2.996922024623803,6
2,22,2.961602371911894,33
23,35,2.955979085849216,8
36,63,2.9546124471576904,22
10,51,2.9440364562021633,13
17,21,2.9059589716191194,3
19,48,2.8939595653116195,24
5,15,2.8805982755747515,12
51,58,2.8711072610680812,22
28,67,2.845481815932706,42
22,64,2.8223767484854245,50
40,58,2.8067796610169498,28
8,37,2.804010452775852,3
50,61,2.7961709401709407,7
47,54,2.7559152714827495,17
28,57,2.7318213701192424,48
36,50,2.7236154740162712,39
26,36,2.713234403255987,23
15,45,2.704885647612737,25
17,47,2.659114184926224,6
37,51,2.642083999155788,5
31,62,2.619907168643631,10
3,33,2.6195365502035277,47
32,54,2.6167973124300112,20
25,47,2.60627281330269,77
5,10,2.5971780670885796,25
48,62,2.5951267841109633,55
54,57,2.5904376325428955,23
45,50,2.5854378974141583,28
18,44,2.5742192918750866,15
25,55,2.5683917128818137,119
2,54,2.5655411934672165,51
21,61,2.5573174868949518,40
