code_a,code_b,lift,gemeinsame_fenster
8,43,0.062232705118398735,45
43,61,0.06156618411285717,85
44,45,0.05983595782301142,94
25,64,0.059456002492819314,9
45,67,0.059392159665605244,11
23,45,0.05920729622991752,18
61,64,0.05709081172150004,10
44,64,0.05700211176840557,83
23,43,0.050876440595907776,112
7,67,0.050083730074814106,4
41,44,0.04949706026013973,57
48,58,0.04729837061949984,6
34,41,0.04714683899301508,51
23,34,0.037747376590351794,20
33,43,0.03756564234833492,33
5,64,0.036751287169321134,13
5,43,0.0358662767435242,100
45,64,0.03567752210251605,28
43,55,0.03532848356142296,62
33,44,0.03137729982633813,7
2,36,0.03015109957065449,19
5,34,0.025559580320925254,17
38,44,0.021853490010002363,41
41,48,0.02165135282707479,46
40,43,0.019818094782192437,33
34,48,0.0197975342716666,100
7,43,0.01836919261371397,49
41,43,0.01653960622273476,75
2,43,0.014141979684603947,51
43,64,0.013952826434046052,80
34,44,0.013514194721711715,37
36,48,0.012973087873719695,48
38,64,0.012803256667190956,12
36,43,0.012536433856907388,99
43,44,0.010107131946572331,115
44,48,0.009298293571073205,50
36,38,0.0061972042067215734,8
2,48,0.0053265480092310755,9
43,48,0.005006087850695717,105
3,43,0.004333502130403649,4
45,55,0.004162917022101037,1
36,41,0.0012620408812625671,1
