code_a,code_b,anteil_b_folgt_a,n_a
15,47,0.07772020725388601,193
50,38,0.07758620689655173,116
50,2,0.07758620689655173,116
21,31,0.07750631844987363,1187
34,5,0.07743362831858407,20792
42,23,0.07697258334405972,7769
67,41,0.07682162875041214,3033
54,5,0.07677165354330709,508
55,51,0.07673732224309096,3727
60,23,0.07647058823529412,170
7,57,0.07625099285146943,5036
23,2,0.07611650485436894,5150
62,57,0.07608695652173914,92
47,23,0.07574053243344582,2667
42,57,0.07542798300939632,7769
43,31,0.07508993445093773,70329
61,31,0.07504621072088724,2705
21,51,0.07497893850042123,1187
32,25,0.0749063670411985,2937
10,58,0.07479224376731301,361
26,32,0.07476635514018691,107
28,2,0.07468879668049792,964
28,31,0.07468879668049792,964
28,7,0.07468879668049792,964
32,31,0.0745658835546476,2937
42,2,0.07439824945295405,7769
47,5,0.07424071991001124,2667
57,7,0.07417974322396577,3505
64,5,0.07412303895646043,11346
34,23,0.07411504424778761,20792
22,25,0.07407407407407407,351
22,61,0.07407407407407407,351
45,23,0.07361531423745514,14209
67,5,0.07352456313880647,3033
55,47,0.07351757445666757,3727
58,5,0.07348242811501597,626
2,5,0.07346128391793515,7555
37,55,0.07329842931937172,191
37,34,0.07329842931937172,191
61,5,0.07319778188539741,2705
43,42,0.0730566338210411,70329
36,57,0.07280116110304789,17225
31,45,0.0727296383034088,7686
48,23,0.0723522295916239,47946
42,41,0.07130904878362723,7769
5,7,0.07113958192852327,5932
64,57,0.07112638815441566,11346
3,42,0.07105416423995341,1717
54,67,0.07086614173228346,508
60,58,0.07058823529411765,170
58,51,0.07028753993610223,626
31,38,0.06960707780379911,7686
25,55,0.06952820148989003,2819
38,5,0.06946510574995149,15461
41,2,0.06946144430844553,9804
5,55,0.06945380984490897,5932
48,31,0.0690777124264798,47946
14,31,0.06907216494845361,970
41,42,0.06864545083639331,9804
55,61,0.06841964046149718,3727
63,42,0.06818181818181818,88
49,31,0.06818181818181818,308
63,7,0.06818181818181818,88
44,2,0.0681036813844787,25887
37,23,0.06806282722513089,191
3,23,0.0675596971461852,1717
15,6,0.06735751295336788,193
15,51,0.06735751295336788,193
51,57,0.06733081415321196,2911
61,42,0.06728280961182995,2705
17,64,0.0670391061452514,179
41,5,0.06701346389228886,9804
40,31,0.06699970614163973,3403
54,51,0.06692913385826772,508
21,64,0.06655433866891322,1187
48,57,0.06636632878655153,47946
44,57,0.06628809827326457,25887
13,64,0.06613756613756613,378
38,23,0.06539033697690964,15461
28,64,0.06535269709543569,964
62,54,0.06521739130434782,92
49,7,0.06493506493506493,308
42,55,0.0644870639721972,7769
31,41,0.06440281030444965,7686
8,57,0.06431956668923494,1477
47,31,0.06411698537682789,2667
58,25,0.06389776357827476,626
55,2,0.06385833109739737,3727
64,31,0.06372289793759915,11346
41,7,0.06364749082007344,9804
36,31,0.06357039187227867,17225
45,25,0.06355127032162713,14209
40,25,0.06317954745812518,3403
40,5,0.06288568909785483,3403
37,67,0.06282722513089005,191
37,36,0.06282722513089005,191
55,25,0.06251676951972096,3727
25,7,0.06243348705214615,2819
34,31,0.06237976144671027,20792
8,7,0.06228842247799594,1477
15,55,0.06217616580310881,193
15,57,0.06217616580310881,193
3,31,0.06173558532323821,1717
49,21,0.06168831168831169,308
49,55,0.06168831168831169,308
43,5,0.06152511766127771,70329
21,5,0.061499578770008424,1187
17,61,0.061452513966480445,179
17,21,0.061452513966480445,179
28,67,0.061203319502074686,964
23,32,0.06116504854368932,5150
3,7,0.061153174140943505,1717
57,67,0.06105563480741798,3505
10,57,0.060941828254847646,361
33,55,0.0608,1875
5,25,0.060687795010114634,5932
50,13,0.0603448275862069,116
28,5,0.06016597510373444,964
45,55,0.05939897248222957,14209
2,57,0.05929847782925215,7555
44,55,0.059296171823695294,25887
42,25,0.05920967949543056,7769
2,31,0.05890138980807412,7555
60,34,0.058823529411764705,170
49,58,0.05844155844155844,308
34,7,0.05824355521354367,20792
33,5,0.058133333333333335,1875
32,40,0.057882192713653385,2937
37,57,0.05759162303664921,191
37,38,0.05759162303664921,191
37,3,0.05759162303664921,191
33,23,0.05706666666666667,1875
15,26,0.05699481865284974,193
22,3,0.05698005698005698,351
34,57,0.05660831088880339,20792
23,51,0.05650485436893204,5150
21,41,0.05644481887110362,1187
48,7,0.05635506611604722,47946
17,33,0.055865921787709494,179
61,57,0.05582255083179297,2705
42,32,0.055734328742437896,7769
14,51,0.05567010309278351,970
2,23,0.05559232296492389,7555
55,31,0.055540649315803596,3727
40,32,0.05553923009109609,3403
3,51,0.0553290623179965,1717
41,23,0.05528355773153815,9804
67,23,0.0550609957138147,3033
35,32,0.05504587155963303,109
35,34,0.05504587155963303,109
3,25,0.054746651135701804,1717
3,55,0.054746651135701804,1717
45,32,0.05468365120698149,14209
44,31,0.054467493336423686,25887
40,2,0.054363796650014694,3403
44,25,0.054274346196932825,25887
22,23,0.05413105413105413,351
18,42,0.05405405405405406,37
23,25,0.05398058252427185,5150
41,31,0.05385556915544676,9804
45,57,0.05383911605320572,14209
51,25,0.05358983167296462,2911
5,51,0.05343897505057316,5932
45,7,0.05341684847631783,14209
2,25,0.053342157511581736,7555
54,23,0.0531496062992126,508
48,55,0.05301797855921245,47946
60,41,0.052941176470588235,170
28,33,0.052904564315352696,964
40,57,0.05289450484866295,3403
64,55,0.052793936188965274,11346
47,61,0.05249343832020997,2667
37,61,0.05235602094240838,191
37,28,0.05235602094240838,191
37,42,0.05235602094240838,191
37,40,0.05235602094240838,191
42,67,0.05225897798944523,7769
43,7,0.05221174764321972,70329
36,51,0.05195936139332366,17225
49,32,0.05194805194805195,308
5,67,0.051753202966958865,5932
50,51,0.05172413793103448,116
50,24,0.05172413793103448,116
38,57,0.051549058922450035,15461
8,64,0.05145565335138795,1477
44,32,0.05145439796036621,25887
43,23,0.05104579903027201,70329
8,55,0.05077860528097495,1477
40,23,0.050543637966500146,3403
36,7,0.050333817126269956,17225
23,31,0.05029126213592233,5150
17,51,0.05027932960893855,179
5,31,0.050236008091706,5932
23,47,0.04990291262135922,5150
47,25,0.049868766404199474,2667
28,57,0.04979253112033195,964
2,51,0.04976836532097948,7555
21,2,0.04970513900589722,1187
25,40,0.049663001064207166,2819
31,7,0.04957064793130367,7686
58,67,0.04952076677316294,626
55,32,0.04936946605849209,3727
54,7,0.04921259842519685,508
64,25,0.04909219108055703,11346
38,40,0.048832546407088805,15461
40,51,0.04878048780487805,3403
36,61,0.04853410740203193,17225
22,60,0.04843304843304843,351
23,57,0.048349514563106794,5150
67,31,0.04813715792944279,3033
57,23,0.047931526390870186,3505
25,51,0.0478893224547712,2819
34,55,0.04785494420931127,20792
64,32,0.047770139256125506,11346
47,51,0.047619047619047616,2667
2,47,0.04751819986763733,7555
23,61,0.04737864077669903,5150
2,32,0.04725347452018531,7555
54,28,0.047244094488188976,508
25,57,0.04717985101099681,2819
41,57,0.047123623011015914,9804
60,32,0.047058823529411764,170
60,44,0.047058823529411764,170
44,7,0.04681886661258547,25887
48,25,0.04674008259291703,47946
45,40,0.04673094517559293,14209
26,15,0.04672897196261682,107
8,25,0.046716316858496955,1477
41,55,0.0467156262749898,9804
6,55,0.046632124352331605,579
15,32,0.046632124352331605,193
36,25,0.04661828737300435,17225
38,32,0.04656878597762111,15461
38,25,0.04656878597762111,15461
64,23,0.046359950643398554,11346
42,7,0.04633801003990218,7769
38,55,0.04631007049996766,15461
40,7,0.0461357625624449,3403
35,25,0.045871559633027525,109
34,40,0.04578684109272797,20792
38,67,0.04546924519759395,15461
45,51,0.04546414244492927,14209
49,61,0.045454545454545456,308
63,47,0.045454545454545456,88
49,47,0.045454545454545456,308
32,55,0.045284303711270006,2937
54,57,0.045275590551181105,508
48,32,0.04500896842280899,47946
31,2,0.04488680718188915,7686
5,32,0.044504383007417395,5932
45,61,0.04433809557322824,14209
10,55,0.0443213296398892,361
38,7,0.044305025548153416,15461
3,47,0.0442632498543972,1717
61,47,0.043992606284658044,2705
61,25,0.043992606284658044,2705
7,42,0.043884034948371724,5036
33,7,0.04373333333333333,1875
34,51,0.04371873797614467,20792
7,55,0.043685464654487687,5036
31,42,0.043585740307051785,7686
31,5,0.04332552693208431,7686
31,55,0.04332552693208431,7686
54,40,0.04330708661417323,508
14,64,0.04329896907216495,970
36,32,0.043193033381712626,17225
50,25,0.04310344827586207,116
