code_a,code_b,anteil_b_folgt_a,n_a
54,41,0.17913385826771652,508
17,48,0.1787709497206704,179
7,45,0.17871326449563146,5036
26,64,0.17757009345794392,107
68,57,0.17647058823529413,102
28,45,0.17634854771784234,964
7,36,0.17573471008737093,5036
6,34,0.17443868739205526,579
35,7,0.1743119266055046,109
33,42,0.1728,1875
22,57,0.17094017094017094,351
13,38,0.1693121693121693,378
17,41,0.16759776536312848,179
17,2,0.16759776536312848,179
36,38,0.1670246734397678,17225
68,2,0.16666666666666666,102
2,45,0.16598279285241563,7555
15,34,0.16580310880829016,193
41,45,0.16554467564259487,9804
64,45,0.1654327516305306,11346
60,45,0.16470588235294117,170
50,34,0.16379310344827586,116
33,38,0.16373333333333334,1875
10,36,0.1634349030470914,361
55,38,0.1634022001609874,3727
44,38,0.16332522115347473,25887
62,34,0.16304347826086957,92
62,64,0.16304347826086957,92
37,45,0.16230366492146597,191
48,38,0.16088933383389648,47946
2,38,0.16068828590337525,7555
61,38,0.16007393715341958,2705
57,64,0.15977175463623394,3505
23,38,0.15922330097087378,5150
8,36,0.15910629654705485,1477
63,34,0.1590909090909091,88
69,57,0.15873015873015872,126
69,32,0.15873015873015872,126
69,31,0.15873015873015872,126
8,45,0.15775220040622884,1477
34,38,0.15746440938822623,20792
42,38,0.15690565066289097,7769
14,34,0.15670103092783505,970
17,23,0.1564245810055866,179
21,34,0.15585509688289806,1187
28,34,0.15560165975103735,964
31,36,0.15521727816809783,7686
2,67,0.15486432825943083,7555
57,38,0.15378031383737517,3505
67,45,0.15364325750082428,3033
41,38,0.15350877192982457,9804
17,45,0.15083798882681565,179
7,2,0.15051628276409848,5036
3,41,0.1496796738497379,1717
45,38,0.14948272221831232,14209
43,45,0.1483314137837876,70329
54,64,0.14763779527559054,508
8,38,0.14759647935003387,1477
68,6,0.14705882352941177,102
25,42,0.14686058886129832,2819
5,38,0.1468307484828051,5932
22,47,0.1452991452991453,351
17,42,0.1452513966480447,179
28,41,0.14522821576763487,964
67,38,0.1434223541048467,3033
31,34,0.1429872495446266,7686
13,31,0.14285714285714285,378
49,41,0.14285714285714285,308
14,44,0.1422680412371134,970
58,42,0.14217252396166133,626
28,38,0.1421161825726141,964
62,55,0.14130434782608695,92
26,57,0.14018691588785046,107
49,5,0.1396103896103896,308
34,64,0.13947672181608312,20792
14,36,0.13917525773195877,970
55,64,0.1379125301851355,3727
13,45,0.13756613756613756,378
68,40,0.13725490196078433,102
61,64,0.13715341959334565,2705
49,57,0.13636363636363635,308
63,32,0.13636363636363635,88
63,45,0.13636363636363635,88
49,64,0.13636363636363635,308
14,45,0.1360824742268041,970
8,41,0.13540961408259986,1477
60,64,0.13529411764705881,170
69,7,0.1349206349206349,126
25,64,0.13479957431713374,2819
61,41,0.1345656192236599,2705
43,38,0.13381393166403618,70329
49,38,0.1331168831168831,308
13,41,0.13227513227513227,378
6,64,0.13126079447322972,579
7,41,0.130659253375695,5036
62,21,0.13043478260869565,92
14,41,0.12989690721649486,970
60,31,0.12941176470588237,170
60,21,0.12941176470588237,170
21,42,0.12889637742207244,1187
